Orig Order,GeoType,Borough,GeoID,BCT2020,Name,CD Type,NTA Type,Hsp_10,Hsp_10P,WNH_10,WNH_10P,BNH_10,BNH_10P,ANH_10,ANH_10P,ONH_10,ONH_10P,NH2pl_10,NH2pl_10P,Hsp_20,Hsp_20P,WNH_20,WNH_20P,BNH_20,BNH_20P,ANH_20,ANH_20P,ONH_20,ONH_20P,NH2pl_20,NH2pl_20P,Hsp_Ch,Hsp_PCh,WNH_Ch,WNH_PCh,BNH_Ch,BNH_PCh,ANH_Ch,ANH_PCh,ONH_Ch,ONH_PCh,NH2pl_Ch,NH2pl_PCh,project_count,within_5_years,from_5_to_10_years,after_10_years,NTA2020,nta2020,hdb_2010_2020
78,NTA2020,Brooklyn,BK0101,,Greenpoint,,0.0,5099,14.7,26691,76.9,433,1.2,1689,4.9,219,0.6,588,1.7,6007,15.4,27496,70.5,1025,2.6,2477,6.4,339,0.9,1636,4.2,908,17.8,805,3.0,592,136.7,788,46.7,120,54.8,1048,178.2,329.0,4580.0,2128.0,500.0,BK0101,BK0101,3973.0
79,NTA2020,Brooklyn,BK0102,,Williamsburg,,0.0,17268,37.7,23968,52.4,1393,3.0,2227,4.9,259,0.6,659,1.4,17012,26.4,36709,57.0,2340,3.6,4974,7.7,762,1.2,2647,4.1,-256,-1.5,12741,53.2,947,68.0,2747,123.3,503,194.2,1988,301.7,492.0,2074.0,3131.0,0.0,BK0102,BK0102,12477.0
80,NTA2020,Brooklyn,BK0103,,South Williamsburg,,0.0,4277,10.1,36670,86.8,913,2.2,77,0.2,115,0.3,189,0.4,4135,8.7,39714,83.3,1217,2.6,363,0.8,1329,2.8,945,2.0,-142,-3.3,3044,8.3,304,33.3,286,371.4,1214,1055.7,756,400.0,174.0,1630.0,773.0,0.0,BK0103,BK0103,1203.0
81,NTA2020,Brooklyn,BK0104,,East Williamsburg,,0.0,20364,40.4,17982,35.7,6243,12.4,4718,9.4,266,0.5,776,1.5,18322,34.6,20363,38.4,6110,11.5,5817,11.0,526,1.0,1860,3.5,-2042,-10.0,2381,13.2,-133,-2.1,1099,23.3,260,97.7,1084,139.7,475.0,2192.0,36.0,0.0,BK0104,BK0104,3330.0
82,NTA2020,Brooklyn,BK0201,,Brooklyn Heights,,0.0,1675,7.3,17210,75.2,1259,5.5,2003,8.8,122,0.5,618,2.7,1961,7.8,18446,73.5,886,3.5,2282,9.1,161,0.6,1356,5.4,286,17.1,1236,7.2,-373,-29.6,279,13.9,39,32.0,738,119.4,48.0,249.0,253.0,0.0,BK0201,BK0201,658.0
83,NTA2020,Brooklyn,BK0202,,Downtown Brooklyn-DUMBO-Boerum Hill,,0.0,4381,17.8,11771,47.8,5099,20.7,2497,10.1,154,0.6,703,2.9,5576,13.6,19213,46.9,5905,14.4,7606,18.6,394,1.0,2274,5.6,1195,27.3,7442,63.2,806,15.8,5109,204.6,240,155.8,1571,223.5,190.0,4118.0,1972.0,176.0,BK0202,BK0202,9427.0
84,NTA2020,Brooklyn,BK0203,,Fort Greene,,0.0,4828,18.3,7497,28.4,11108,42.1,1924,7.3,164,0.6,878,3.3,5605,17.0,11355,34.5,9896,30.0,3916,11.9,382,1.2,1784,5.4,777,16.1,3858,51.5,-1212,-10.9,1992,103.5,218,132.9,906,103.2,127.0,1356.0,5035.0,400.0,BK0203,BK0203,3553.0
85,NTA2020,Brooklyn,BK0204,,Clinton Hill,,0.0,2973,12.4,9031,37.6,9606,40.0,1363,5.7,170,0.7,871,3.6,3464,12.1,12845,44.8,7574,26.4,2714,9.5,417,1.5,1633,5.7,491,16.5,3814,42.2,-2032,-21.2,1351,99.1,247,145.3,762,87.5,200.0,1039.0,629.0,0.0,BK0204,BK0204,2180.0
86,NTA2020,Brooklyn,BK0261,,Brooklyn Navy Yard,,6.0,0,,7,100.0,0,,0,,0,,0,,4,80.0,1,20.0,0,,0,,0,,0,,4,,-6,-85.7,0,,0,,0,,0,,,,,,,,
87,NTA2020,Brooklyn,BK0301,,Bedford-Stuyvesant (West),,0.0,15973,21.4,13295,17.8,41307,55.5,2004,2.7,498,0.7,1414,1.9,16636,18.7,31481,35.3,30805,34.5,4635,5.2,1537,1.7,4095,4.6,663,4.2,18186,136.8,-10502,-25.4,2631,131.3,1039,208.6,2681,189.6,824.0,2664.0,1939.0,0.0,BK0301,BK0301,4976.0
