GeoName,GeoID,HHIU10E,HHI10t14E,HHI15t24E,HHI25t34E,HHI35t49E,HHI50t74E,HHI75t99E,HI100t149E,HI150t199E,HHI200plE,GeogName,EA_LTHSGrE,EA_BchDHE
Greenpoint,BK0101,918,613,1084,796,1034,2096,2034,2978,1933,2756,Greenpoint,2509,16534
Williamsburg,BK0102,1794,1161,1417,1209,1929,2396,2643,4335,3023,5496,Williamsburg,5745,26775
South Williamsburg,BK0103,737,1452,2396,1347,1251,1176,754,614,388,304,South Williamsburg,5121,2006
East Williamsburg,BK0104,2533,1866,2284,1777,1928,2727,2379,2931,1967,2528,East Williamsburg,8706,16675
Brooklyn Heights,BK0201,388,227,465,454,454,945,1142,1823,1581,3671,Brooklyn Heights,403,14577
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,1420,452,988,750,894,1221,1150,2397,1966,4588,Downtown Brooklyn-DUMBO-Boerum Hill,1932,18758
Fort Greene,BK0203,1510,729,1029,971,1188,1734,1264,2026,1300,2297,Fort Greene,3260,12909
Clinton Hill,BK0204,856,484,526,596,901,1514,1506,1922,1462,1980,Clinton Hill,1402,12981
Bedford-Stuyvesant (West),BK0301,3585,2146,3041,2390,2979,4279,3107,4049,2548,2857,Bedford-Stuyvesant (West),9165,22489
Bedford-Stuyvesant (East),BK0302,3724,2457,3169,2819,3454,4880,3976,4596,1918,2593,Bedford-Stuyvesant (East),8956,21013
Bushwick (West),BK0401,1780,1293,1906,1735,1859,2792,2503,3136,1605,1037,Bushwick (West),9477,13190
Bushwick (East),BK0402,2540,1312,2561,1599,2191,3311,2512,2711,1310,867,Bushwick (East),9420,10209
Cypress Hills,BK0501,1507,591,1280,1152,1381,2447,1447,1531,753,555,Cypress Hills,5251,3575
East New York (North),BK0502,2441,882,1623,1248,1892,1973,1520,1280,418,383,East New York (North),5664,3108
East New York-New Lots,BK0503,3452,1408,2170,1965,2031,2915,1596,1954,716,392,East New York-New Lots,5549,5034
Spring Creek-Starrett City,BK0504,816,1093,1168,1016,1195,1057,753,384,118,71,Spring Creek-Starrett City,2014,2313
East New York-City Line,BK0505,2689,1059,1837,1697,2301,1764,1620,1201,510,435,East New York-City Line,4940,3776
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,2350,1174,1350,1511,1608,2297,2144,3337,3032,6222,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,5811,27433
Park Slope,BK0602,967,375,675,837,1037,1692,2458,4390,3697,8386,Park Slope,1753,35956
Windsor Terrace-South Slope,BK0701,492,268,429,389,564,990,1299,1937,1274,2248,Windsor Terrace-South Slope,1222,12535
Sunset Park (West),BK0702,880,1053,1815,1322,2046,2497,1839,2358,961,1549,Sunset Park (West),11616,11099
Sunset Park (Central),BK0703,870,826,1497,1495,1875,2631,1533,1543,629,525,Sunset Park (Central),16806,5447
Prospect Heights,BK0801,583,285,407,321,726,944,1125,1623,1360,2417,Prospect Heights,1436,12574
Crown Heights (North),BK0802,4173,2739,3612,2855,3889,4644,3509,4577,2230,2328,Crown Heights (North),10251,22584
Crown Heights (South),BK0901,1387,1346,2249,1592,2670,3384,2545,2407,892,945,Crown Heights (South),5092,11426
Prospect Lefferts Gardens-Wingate,BK0902,1968,956,1311,2069,2422,3165,2354,2569,1403,1187,Prospect Lefferts Gardens-Wingate,4211,12737
Bay Ridge,BK1001,2005,1493,2582,2368,3213,4809,4454,5745,2930,4109,Bay Ridge,7652,29449
Dyker Heights,BK1002,773,638,1516,1359,1608,2060,1521,2252,1080,1161,Dyker Heights,8543,9085
Bensonhurst,BK1101,1855,2190,3719,3182,4307,5355,4036,4353,2107,1668,Bensonhurst,19812,20673
Bath Beach,BK1102,458,588,1222,1094,1258,1503,1497,1947,974,771,Bath Beach,4690,8002
Gravesend (West),BK1103,1247,1328,2206,1875,2287,2737,2209,2911,1423,1371,Gravesend (West),9346,12988
Sunset Park (East)-Borough Park (West),BK1201,599,740,1174,970,1324,1337,894,912,369,272,Sunset Park (East)-Borough Park (West),9023,3698
Borough Park,BK1202,1306,1565,3570,2768,2562,2762,1781,1944,767,962,Borough Park,9658,7205
Kensington,BK1203,538,891,1291,1041,1447,2231,1657,2268,1123,1176,Kensington,3964,12117
Mapleton-Midwood (West),BK1204,720,719,986,1271,1136,1576,1468,1577,676,1115,Mapleton-Midwood (West),3289,7328
Gravesend (South),BK1301,1077,1184,1609,872,1038,1403,1127,1409,613,646,Gravesend (South),4206,7221
Coney Island-Sea Gate,BK1302,2042,3297,3203,1718,2444,2891,1411,1704,662,728,Coney Island-Sea Gate,6413,13503
Brighton Beach,BK1303,1187,2035,1687,1009,1219,2006,1164,1289,737,627,Brighton Beach,3036,11357
Flatbush,BK1401,1720,1523,2112,2435,2936,5236,3478,3594,1195,1215,Flatbush,6515,14382
Flatbush (West)-Ditmas Park-Parkville,BK1402,1204,964,1162,1427,1472,2328,1812,1806,1166,1377,Flatbush (West)-Ditmas Park-Parkville,4708,11843
Midwood,BK1403,1117,1612,1620,1237,1960,2783,1877,2372,1225,1485,Midwood,4314,14715
Gravesend (East)-Homecrest,BK1501,961,1241,1694,1877,1924,2516,2078,2699,1139,1539,Gravesend (East)-Homecrest,5468,12500
Madison,BK1502,901,788,1192,1079,1603,2011,1893,2688,1139,1450,Madison,3890,11373
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK1503,1452,1830,2559,1982,2549,3669,2762,4372,2196,2112,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,6764,20137
Ocean Hill,BK1601,2372,787,1437,1488,2010,2002,1422,1385,574,491,Ocean Hill,4851,5021
Brownsville,BK1602,5936,2476,2833,1771,2272,2117,949,1198,301,264,Brownsville,8943,3687
East Flatbush-Erasmus,BK1701,1517,866,1329,1560,2094,2796,2202,2248,941,691,East Flatbush-Erasmus,3817,8144
East Flatbush-Farragut,BK1702,585,451,1060,1318,1566,2448,1671,2027,660,622,East Flatbush-Farragut,3087,6727
East Flatbush-Rugby,BK1703,994,746,1498,1432,2075,2472,1852,2240,890,544,East Flatbush-Rugby,3408,6393
East Flatbush-Remsen Village,BK1704,1656,834,1865,1683,2034,2592,1441,1788,471,448,East Flatbush-Remsen Village,4730,6110
Flatlands,BK1801,1002,835,1718,1531,2489,3593,3315,4610,2241,1857,Flatlands,5400,15762
Marine Park-Mill Basin-Bergen Beach,BK1802,551,461,865,1049,1300,2036,2336,3021,2162,2271,Marine Park-Mill Basin-Bergen Beach,2861,12948
Canarsie,BK1803,1885,1265,2358,2181,3000,4666,4309,5526,2424,1927,Canarsie,7465,16933
Mott Haven-Port Morris,BX0101,4272,2779,3069,1969,2667,1919,1187,878,270,345,Mott Haven-Port Morris,12437,3311
Melrose,BX0102,2986,1801,1881,1972,1892,1702,1112,958,241,292,Melrose,8638,3365
Hunts Point,BX0201,1021,563,879,312,740,526,275,213,213,58,Hunts Point,2950,1314
Longwood,BX0202,2651,1771,1707,1891,1568,1644,905,868,157,170,Longwood,8553,3164
Morrisania,BX0301,2429,1264,2299,1230,1683,1612,1083,613,148,186,Morrisania,6535,2877
Claremont Village-Claremont (East),BX0302,1668,1127,1032,1054,1127,868,497,439,102,25,Claremont Village-Claremont (East),5336,1548
Crotona Park East,BX0303,2073,1106,1474,1093,1438,1090,738,460,288,248,Crotona Park East,5748,2791
Concourse-Concourse Village,BX0401,3608,2940,3763,2564,3330,3370,2149,1638,477,426,Concourse-Concourse Village,13666,6937
Highbridge,BX0402,1849,1097,1831,1472,1539,1676,811,747,139,132,Highbridge,6280,2815
Mount Eden-Claremont (West),BX0403,2958,1434,2300,2100,2151,2882,1486,876,195,114,Mount Eden-Claremont (West),10182,4813
University Heights (South)-Morris Heights,BX0501,3305,2710,3096,1903,2266,2637,1406,976,422,115,University Heights (South)-Morris Heights,11200,4386
Mount Hope,BX0502,2422,1892,2217,1304,2320,2645,1472,877,257,187,Mount Hope,10037,3643
Fordham Heights,BX0503,1968,995,1742,1000,1823,1201,824,606,105,32,Fordham Heights,7076,1735
West Farms,BX0601,1204,880,1294,688,584,1076,357,245,84,82,West Farms,4587,1215
Tremont,BX0602,1909,1824,1790,1137,1164,1513,666,643,265,59,Tremont,6750,2591
Belmont,BX0603,2184,1555,1748,1256,1729,1879,477,597,119,111,Belmont,6350,2566
University Heights (North)-Fordham,BX0701,2261,1387,2349,1353,2148,2763,1515,751,308,245,University Heights (North)-Fordham,9640,4080
Bedford Park,BX0702,2333,1681,2767,1943,2824,3650,2161,1390,598,415,Bedford Park,9663,5802
Norwood,BX0703,1661,1552,1925,1966,2118,2233,1404,1122,427,131,Norwood,7109,5678
